Data;Dia;Hora;BTN A;BTN B;BTN C;IP
16/set/2023;sáb;05:00;0,0189684;0,0169130;0,0167410;0,0612903
16/set/2023;sáb;05:15;0,0190343;0,0170565;0,0168271;0,0612903
16/set/2023;sáb;05:30;0,0191972;0,0172901;0,0168800;0,0612903
16/set/2023;sáb;05:45;0,0193574;0,0175191;0,0169272;0,0612903
16/set/2023;sáb;06:00;0,0196907;0,0178014;0,0170272;0,0612903
16/set/2023;sáb;06:15;0,0200379;0,0181290;0,0173191;0,0611774
16/set/2023;sáb;06:30;0,0204275;0,0184970;0,0176881;0,0599997
16/set/2023;sáb;06:45;0,0207843;0,0188433;0,0180362;0,0552510
16/set/2023;sáb;07:00;0,0212610;0,0193332;0,0183983;0,0330138
16/set/2023;sáb;07:15;0,0218329;0,0199211;0,0188865;0,0110773
16/set/2023;sáb;07:30;0,0224861;0,0205863;0,0195520;0,0005287
16/set/2023;sáb;07:45;0,0231802;0,0212223;0,0202708;0,0000003
16/set/2023;sáb;08:00;0,0239609;0,0218417;0,0211619;0,0000003
16/set/2023;sáb;08:15;0,0247119;0,0225265;0,0221624;0,0000003
16/set/2023;sáb;08:30;0,0254735;0,0233387;0,0232996;0,0000003
16/set/2023;sáb;08:45;0,0262698;0,0241885;0,0243911;0,0000003
16/set/2023;sáb;09:00;0,0272852;0,0251750;0,0254702;0,0000003
16/set/2023;sáb;09:15;0,0282924;0,0260541;0,0264150;0,0000003
16/set/2023;sáb;09:30;0,0292987;0,0269541;0,0271979;0,0000003
16/set/2023;sáb;09:45;0,0301380;0,0276360;0,0278159;0,0000003
16/set/2023;sáb;10:00;0,0310429;0,0284119;0,0283223;0,0000003
16/set/2023;sáb;10:15;0,0317886;0,0290112;0,0286620;0,0000003
16/set/2023;sáb;10:30;0,0323888;0,0295295;0,0289049;0,0000003
16/set/2023;sáb;10:45;0,0327322;0,0297364;0,0290703;0,0000003
16/set/2023;sáb;11:00;0,0330372;0,0299036;0,0293627;0,0000003
16/set/2023;sáb;11:15;0,0333578;0,0300606;0,0296670;0,0000003
16/set/2023;sáb;11:30;0,0337044;0,0303338;0,0301424;0,0000003
16/set/2023;sáb;11:45;0,0339923;0,0306883;0,0307357;0,0000003
16/set/2023;sáb;12:00;0,0341320;0,0311743;0,0313782;0,0000003
16/set/2023;sáb;12:15;0,0341490;0,0317029;0,0320181;0,0000003
16/set/2023;sáb;12:30;0,0340205;0,0320257;0,0324067;0,0000003
16/set/2023;sáb;12:45;0,0338444;0,0320704;0,0324328;0,0000003
16/set/2023;sáb;13:00;0,0335555;0,0317837;0,0320025;0,0000003
16/set/2023;sáb;13:15;0,0332621;0,0314751;0,0313201;0,0000003
16/set/2023;sáb;13:30;0,0328775;0,0310628;0,0307160;0,0000003
16/set/2023;sáb;13:45;0,0325437;0,0308772;0,0302333;0,0000003
16/set/2023;sáb;14:00;0,0322553;0,0306776;0,0297924;0,0000003
16/set/2023;sáb;14:15;0,0320623;0,0306117;0,0293858;0,0000003
16/set/2023;sáb;14:30;0,0319434;0,0305499;0,0290499;0,0000003
16/set/2023;sáb;14:45;0,0318335;0,0305401;0,0289151;0,0000003
16/set/2023;sáb;15:00;0,0316972;0,0305401;0,0288740;0,0000003
16/set/2023;sáb;15:15;0,0314325;0,0304186;0,0287655;0,0000003
16/set/2023;sáb;15:30;0,0310996;0,0303202;0,0285319;0,0000003
16/set/2023;sáb;15:45;0,0307636;0,0300597;0,0282810;0,0000003
16/set/2023;sáb;16:00;0,0304905;0,0297610;0,0281337;0,0000003
16/set/2023;sáb;16:15;0,0302521;0,0293964;0,0280046;0,0000003
16/set/2023;sáb;16:30;0,0300031;0,0290378;0,0278331;0,0000003
